timestamp,action,price,indicators,result
2025-01-22 15:00:06,analysis,1.044105,{'rsi': np.float64(13.31), 'ema_short': np.float64(1.04427), 'ema_medium': np.float64(1.04429), 'ema_long': np.float64(1.0443), 'bb_upper': np.float64(1.0444), 'bb_lower': np.float64(1.04416), 'bb_sma': np.float64(1.04428)},None
2025-01-22 15:00:07,analysis,1.04411,{'rsi': np.float64(20.56), 'ema_short': np.float64(1.04425), 'ema_medium': np.float64(1.04428), 'ema_long': np.float64(1.0443), 'bb_upper': np.float64(1.04441), 'bb_lower': np.float64(1.04413), 'bb_sma': np.float64(1.04427)},None
2025-01-22 15:00:09,analysis,1.04411,{'rsi': np.float64(20.07), 'ema_short': np.float64(1.04423), 'ema_medium': np.float64(1.04428), 'ema_long': np.float64(1.0443), 'bb_upper': np.float64(1.04442), 'bb_lower': np.float64(1.04411), 'bb_sma': np.float64(1.04426)},None
2025-01-22 15:00:10,analysis,1.044105,{'rsi': np.float64(18.95), 'ema_short': np.float64(1.04421), 'ema_medium': np.float64(1.04427), 'ema_long': np.float64(1.04429), 'bb_upper': np.float64(1.04442), 'bb_lower': np.float64(1.04408), 'bb_sma': np.float64(1.04425)},None
2025-01-22 15:00:11,analysis,1.044105,{'rsi': np.float64(20.64), 'ema_short': np.float64(1.04418), 'ema_medium': np.float64(1.04426), 'ema_long': np.float64(1.04429), 'bb_upper': np.float64(1.04442), 'bb_lower': np.float64(1.04406), 'bb_sma': np.float64(1.04424)},None
2025-01-22 15:00:12,analysis,1.04419,{'rsi': np.float64(17.1), 'ema_short': np.float64(1.04417), 'ema_medium': np.float64(1.04426), 'ema_long': np.float64(1.04428), 'bb_upper': np.float64(1.04441), 'bb_lower': np.float64(1.04406), 'bb_sma': np.float64(1.04424)},None
2025-01-22 15:00:14,analysis,1.044175,{'rsi': np.float64(19.24), 'ema_short': np.float64(1.04415), 'ema_medium': np.float64(1.04425), 'ema_long': np.float64(1.04428), 'bb_upper': np.float64(1.04441), 'bb_lower': np.float64(1.04405), 'bb_sma': np.float64(1.04423)},None
2025-01-22 15:00:15,analysis,1.04419,{'rsi': np.float64(13.19), 'ema_short': np.float64(1.04412), 'ema_medium': np.float64(1.04425), 'ema_long': np.float64(1.04428), 'bb_upper': np.float64(1.0444), 'bb_lower': np.float64(1.04405), 'bb_sma': np.float64(1.04422)},None
2025-01-22 15:00:16,analysis,1.044185,{'rsi': np.float64(14.98), 'ema_short': np.float64(1.04413), 'ema_medium': np.float64(1.04424), 'ema_long': np.float64(1.04428), 'bb_upper': np.float64(1.04439), 'bb_lower': np.float64(1.04405), 'bb_sma': np.float64(1.04422)},None
2025-01-22 15:00:18,analysis,1.044185,{'rsi': np.float64(16.23), 'ema_short': np.float64(1.04414), 'ema_medium': np.float64(1.04424), 'ema_long': np.float64(1.04427), 'bb_upper': np.float64(1.04438), 'bb_lower': np.float64(1.04405), 'bb_sma': np.float64(1.04421)},None
2025-01-22 15:00:19,analysis,1.04416,{'rsi': np.float64(17.47), 'ema_short': np.float64(1.04415), 'ema_medium': np.float64(1.04423), 'ema_long': np.float64(1.04427), 'bb_upper': np.float64(1.04437), 'bb_lower': np.float64(1.04404), 'bb_sma': np.float64(1.0442)},None
2025-01-22 15:00:20,analysis,1.04415,{'rsi': np.float64(18.82), 'ema_short': np.float64(1.04415), 'ema_medium': np.float64(1.04422), 'ema_long': np.float64(1.04427), 'bb_upper': np.float64(1.04435), 'bb_lower': np.float64(1.04404), 'bb_sma': np.float64(1.0442)},None
2025-01-22 15:00:21,analysis,1.04414,{'rsi': np.float64(27.47), 'ema_short': np.float64(1.04416), 'ema_medium': np.float64(1.04421), 'ema_long': np.float64(1.04427), 'bb_upper': np.float64(1.04434), 'bb_lower': np.float64(1.04404), 'bb_sma': np.float64(1.04419)},None
2025-01-22 15:00:23,analysis,1.044125,{'rsi': np.float64(35.46), 'ema_short': np.float64(1.04417), 'ema_medium': np.float64(1.0442), 'ema_long': np.float64(1.04427), 'bb_upper': np.float64(1.04432), 'bb_lower': np.float64(1.04404), 'bb_sma': np.float64(1.04418)},None
2025-01-22 15:00:24,analysis,1.04413,{'rsi': np.float64(34.23), 'ema_short': np.float64(1.04417), 'ema_medium': np.float64(1.04419), 'ema_long': np.float64(1.04426), 'bb_upper': np.float64(1.0443), 'bb_lower': np.float64(1.04404), 'bb_sma': np.float64(1.04417)},None
2025-01-22 15:00:25,analysis,1.044145,{'rsi': np.float64(45.93), 'ema_short': np.float64(1.04416), 'ema_medium': np.float64(1.04418), 'ema_long': np.float64(1.04426), 'bb_upper': np.float64(1.04427), 'bb_lower': np.float64(1.04405), 'bb_sma': np.float64(1.04416)},None
2025-01-22 15:00:26,analysis,1.04408,{'rsi': np.float64(40.41), 'ema_short': np.float64(1.04415), 'ema_medium': np.float64(1.04417), 'ema_long': np.float64(1.04426), 'bb_upper': np.float64(1.04426), 'bb_lower': np.float64(1.04405), 'bb_sma': np.float64(1.04415)},None
2025-01-22 15:00:28,analysis,1.04408,{'rsi': np.float64(37.36), 'ema_short': np.float64(1.04414), 'ema_medium': np.float64(1.04416), 'ema_long': np.float64(1.04426), 'bb_upper': np.float64(1.04424), 'bb_lower': np.float64(1.04405), 'bb_sma': np.float64(1.04414)},None
2025-01-22 15:00:29,analysis,1.04408,{'rsi': np.float64(35.74), 'ema_short': np.float64(1.04413), 'ema_medium': np.float64(1.04414), 'ema_long': np.float64(1.04425), 'bb_upper': np.float64(1.04421), 'bb_lower': np.float64(1.04406), 'bb_sma': np.float64(1.04413)},None
2025-01-22 15:00:30,analysis,1.044065,{'rsi': np.float64(39.79), 'ema_short': np.float64(1.04412), 'ema_medium': np.float64(1.04413), 'ema_long': np.float64(1.04425), 'bb_upper': np.float64(1.04421), 'bb_lower': np.float64(1.04405), 'bb_sma': np.float64(1.04413)},None
2025-01-22 15:00:31,analysis,1.044065,{'rsi': np.float64(44.66), 'ema_short': np.float64(1.04411), 'ema_medium': np.float64(1.04413), 'ema_long': np.float64(1.04424), 'bb_upper': np.float64(1.04421), 'bb_lower': np.float64(1.04405), 'bb_sma': np.float64(1.04413)},None
2025-01-22 15:00:33,analysis,1.044065,{'rsi': np.float64(44.44), 'ema_short': np.float64(1.0441), 'ema_medium': np.float64(1.04413), 'ema_long': np.float64(1.04424), 'bb_upper': np.float64(1.04421), 'bb_lower': np.float64(1.04404), 'bb_sma': np.float64(1.04413)},None
2025-01-22 15:00:34,analysis,1.044065,{'rsi': np.float64(50.22), 'ema_short': np.float64(1.04409), 'ema_medium': np.float64(1.04413), 'ema_long': np.float64(1.04424), 'bb_upper': np.float64(1.04422), 'bb_lower': np.float64(1.04403), 'bb_sma': np.float64(1.04412)},None
2025-01-22 15:00:35,analysis,1.04407,{'rsi': np.float64(47.3), 'ema_short': np.float64(1.04409), 'ema_medium': np.float64(1.04413), 'ema_long': np.float64(1.04423), 'bb_upper': np.float64(1.04422), 'bb_lower': np.float64(1.04403), 'bb_sma': np.float64(1.04412)},None
2025-01-22 15:00:36,analysis,1.044165,{'rsi': np.float64(52.78), 'ema_short': np.float64(1.04408), 'ema_medium': np.float64(1.04413), 'ema_long': np.float64(1.04423), 'bb_upper': np.float64(1.04422), 'bb_lower': np.float64(1.04403), 'bb_sma': np.float64(1.04413)},None
2025-01-22 15:00:37,analysis,1.044215,{'rsi': np.float64(52.11), 'ema_short': np.float64(1.04409), 'ema_medium': np.float64(1.04414), 'ema_long': np.float64(1.04423), 'bb_upper': np.float64(1.04423), 'bb_lower': np.float64(1.04403), 'bb_sma': np.float64(1.04413)},None
2025-01-22 15:00:39,analysis,1.04425,{'rsi': np.float64(53.21), 'ema_short': np.float64(1.0441), 'ema_medium': np.float64(1.04414), 'ema_long': np.float64(1.04423), 'bb_upper': np.float64(1.04424), 'bb_lower': np.float64(1.04402), 'bb_sma': np.float64(1.04413)},None
2025-01-22 15:00:40,analysis,1.04424,{'rsi': np.float64(45.64), 'ema_short': np.float64(1.04411), 'ema_medium': np.float64(1.04414), 'ema_long': np.float64(1.04422), 'bb_upper': np.float64(1.04425), 'bb_lower': np.float64(1.04401), 'bb_sma': np.float64(1.04413)},None
2025-01-22 15:00:41,analysis,1.04426,{'rsi': np.float64(40.32), 'ema_short': np.float64(1.04413), 'ema_medium': np.float64(1.04414), 'ema_long': np.float64(1.04422), 'bb_upper': np.float64(1.04427), 'bb_lower': np.float64(1.04401), 'bb_sma': np.float64(1.04414)},None
2025-01-22 15:00:43,analysis,1.04426,{'rsi': np.float64(53.27), 'ema_short': np.float64(1.04415), 'ema_medium': np.float64(1.04414), 'ema_long': np.float64(1.04422), 'bb_upper': np.float64(1.04428), 'bb_lower': np.float64(1.044), 'bb_sma': np.float64(1.04414)},None
2025-01-22 15:00:44,analysis,1.044265,{'rsi': np.float64(44.13), 'ema_short': np.float64(1.04418), 'ema_medium': np.float64(1.04414), 'ema_long': np.float64(1.04422), 'bb_upper': np.float64(1.04429), 'bb_lower': np.float64(1.044), 'bb_sma': np.float64(1.04415)},None
