timestamp,action,price,indicators,result
2025-01-22 16:10:00,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:10:01,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:03,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:05,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:06,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:08,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:09,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:11,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:13,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:14,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:16,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:17,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:19,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:20,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:22,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:23,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:25,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:27,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:28,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:30,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:31,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:33,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
